Model selection results for subset: e7899647c72c220775362e770e9e6b8a
Subset alignment stored here: ./analysis/phylofiles/e7899647c72c220775362e770e9e6b8a.phy
This subset contains the following data_blocks: (alineamiento_16S_p3, alineamiento_16S_p1, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -1904.63776     | 3827.27552      | 3827.64286694   | 3865.20699289  
GTR+I+G         | -1904.64211     | 3829.28422      | 3829.73411775   | 3871.43030098  
HKY+G           | -1920.79723     | 3851.59446      | 3851.71591749   | 3872.66750049  
GTR+I           | -1909.29321     | 3836.58642      | 3836.95376694   | 3874.51789289  
HKY+I+G         | -1920.7987      | 3853.5974       | 3853.7677854    | 3878.88504859  
HKY+I           | -1927.84146     | 3865.68292      | 3865.80437749   | 3886.75596049  
F81+G           | -1978.56947     | 3965.13894      | 3965.21974808   | 3981.99737239  
F81+I+G         | -1978.56961     | 3967.13922      | 3967.26067749   | 3988.21226049  
F81+I           | -1982.86079     | 3973.72158      | 3973.80238808   | 3990.58001239  
GTR             | -2089.56609     | 4195.13218      | 4195.42545902   | 4228.84904479  
HKY             | -2112.46312     | 4232.92624      | 4233.00704808   | 4249.78467239  
SYM+G           | -2113.86143     | 4239.72286      | 4239.8932454    | 4265.01050859  
SYM+I           | -2115.84487     | 4243.68974      | 4243.8601254    | 4268.97738859  
SYM+I+G         | -2114.18081     | 4242.36162      | 4242.58926228   | 4271.86387669  
F81             | -2142.06619     | 4290.13238      | 4290.1807671    | 4302.7762043   
K80+G           | -2195.21176     | 4394.42352      | 4394.44766487   | 4402.8527362   
JC+G            | -2200.70307     | 4403.40614      | 4403.41417213   | 4407.6207481   
K80+I+G         | -2195.20901     | 4396.41802      | 4396.4664071    | 4409.0618443   
JC+I+G          | -2200.71073     | 4405.42146      | 4405.44560487   | 4413.8506762   
K80+I           | -2201.75656     | 4407.51312      | 4407.53726487   | 4415.9423362   
JC+I            | -2206.59442     | 4415.18884      | 4415.19687213   | 4419.4034481   
SYM             | -2249.46022     | 4508.92044      | 4509.04189749   | 4529.99348049  
JC              | -2341.56104     | 4683.12208      | 4683.12208      | 4683.12208     
K80             | -2338.5702      | 4679.1404       | 4679.14843213   | 4683.3550081   
