Model selection results for subset: e81e7b21ae66a2951390d7398644199c
Subset alignment stored here: ./analysis/phylofiles/e81e7b21ae66a2951390d7398644199c.phy
This subset contains the following data_blocks: (alineamiento_WG_p2, alineamiento_CYTB_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
JC+I            | -594.42937      | 1190.85874      | 1190.87323275   | 1194.48636111  
F81+I           | -586.63989      | 1181.27978      | 1181.42630015   | 1195.79026445  
K80+I           | -594.15066      | 1192.30132      | 1192.34495636   | 1199.55656223  
JC+I+G          | -594.43132      | 1192.86264      | 1192.90627636   | 1200.11788223  
HKY+I           | -586.10778      | 1182.21556      | 1182.43614824   | 1200.35366557  
F81+I+G         | -586.62114      | 1183.24228      | 1183.46286824   | 1201.38038557  
K80+I+G         | -594.1405       | 1194.281        | 1194.36859124   | 1205.16386334  
HKY+I+G         | -586.10872      | 1184.21744      | 1184.5274031    | 1205.98316668  
JC+G            | -601.81807      | 1205.63614      | 1205.65063275   | 1209.26376111  
F81+G           | -594.67912      | 1197.35824      | 1197.50476015   | 1211.86872445  
SYM+I           | -589.32848      | 1190.65696      | 1190.9669231    | 1212.42268668  
K80+G           | -601.58148      | 1207.16296      | 1207.20659636   | 1214.41820223  
GTR+I           | -582.59262      | 1183.18524      | 1183.85688179   | 1215.83383002  
HKY+G           | -594.39944      | 1198.79888      | 1199.01946824   | 1216.93698557  
SYM+I+G         | -589.31608      | 1192.63216      | 1193.04697481   | 1218.0255078   
GTR+I+G         | -582.58536      | 1185.17072      | 1185.99469004   | 1221.44693114  
SYM+G           | -594.65595      | 1201.3119       | 1201.6218631    | 1223.07762668  
GTR+G           | -588.82397      | 1195.64794      | 1196.31958179   | 1228.29653002  
JC              | -617.53534      | 1235.07068      | 1235.07068      | 1235.07068     
F81             | -610.8363       | 1227.6726       | 1227.76019124   | 1238.55546334  
K80             | -617.31924      | 1236.63848      | 1236.65297275   | 1240.26610111  
HKY             | -610.65365      | 1229.3073       | 1229.45382015   | 1243.81778445  
SYM             | -609.92298      | 1229.84596      | 1230.06654824   | 1247.98406557  
GTR             | -604.52582      | 1225.05164      | 1225.58695599   | 1254.07260891  
