Model selection results for subset: e9ebb6d683ff51d33da4f209d5ee2578
Subset alignment stored here: ./analysis/phylofiles/e9ebb6d683ff51d33da4f209d5ee2578.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_WG_p3, alineamiento_16S_p1, alineamiento_WG_p2, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2263.7127      | 4547.4254       | 4547.70388101   | 4594.28400947  
GTR+I           | -2270.41644     | 4558.83288      | 4559.06044005   | 4601.00562852  
GTR+G           | -2271.56632     | 4561.13264      | 4561.36020005   | 4603.30538852  
F81+I+G         | -2312.9977      | 4635.9954       | 4636.0708717    | 4659.42470474  
F81+I           | -2319.14863     | 4646.29726      | 4646.34751126   | 4665.04070379  
HKY+I+G         | -2312.99614     | 4637.99228      | 4638.09807345   | 4666.10744568  
HKY+I           | -2319.13034     | 4648.26068      | 4648.3361517    | 4671.68998474  
F81+G           | -2323.99576     | 4655.99152      | 4656.04177126   | 4674.73496379  
HKY+G           | -2323.95681     | 4657.91362      | 4657.9890917    | 4681.34292474  
SYM+I+G         | -2348.35864     | 4710.71728      | 4710.85851581   | 4743.51830663  
SYM+G           | -2356.12281     | 4724.24562      | 4724.35141345   | 4752.36078568  
SYM+I           | -2357.09676     | 4726.19352      | 4726.29931345   | 4754.30868568  
GTR             | -2408.59703     | 4833.19406      | 4833.37587818   | 4870.68094758  
JC+I+G          | -2475.76012     | 4955.52024      | 4955.53527759   | 4964.89196189  
K80+I+G         | -2473.16239     | 4952.32478      | 4952.35489292   | 4966.38236284  
JC+I            | -2481.69866     | 4965.39732      | 4965.40232626   | 4970.08318095  
K80+I           | -2478.62292     | 4961.24584      | 4961.26087759   | 4970.61756189  
JC+G            | -2484.86806     | 4971.73612      | 4971.74112626   | 4976.42198095  
K80+G           | -2481.74817     | 4967.49634      | 4967.51137759   | 4976.86806189  
F81             | -2483.27001     | 4972.54002      | 4972.57013292   | 4986.59760284  
HKY             | -2482.38854     | 4972.77708      | 4972.82733126   | 4991.52052379  
SYM             | -2484.10693     | 4978.21386      | 4978.2893317    | 5001.64316474  
JC              | -2626.24976     | 5252.49952      | 5252.49952      | 5252.49952     
K80             | -2622.98561     | 5247.97122      | 5247.97622626   | 5252.65708095  
