Model selection results for subset: ef5d685ef51b7c724de6e69d0d685e29
Subset alignment stored here: ./analysis/phylofiles/ef5d685ef51b7c724de6e69d0d685e29.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_16S_p1, alineamiento_WG_p2, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2047.09887     | 4114.19774      | 4114.53310585   | 4159.22564046  
GTR+G           | -2051.36556     | 4120.73112      | 4121.0050926    | 4161.25623041  
GTR+I           | -2053.16369     | 4124.32738      | 4124.6013526    | 4164.85249041  
F81+I+G         | -2087.70941     | 4185.41882      | 4185.50959156   | 4207.93277023  
F81+G           | -2093.44545     | 4194.8909       | 4194.95132296   | 4212.90206018  
F81+I           | -2093.58778     | 4195.17556      | 4195.23598296   | 4213.18672018  
HKY+I+G         | -2087.4443      | 4186.8886       | 4187.01587273   | 4213.90534028  
HKY+G           | -2093.34542     | 4196.69084      | 4196.78161156   | 4219.20479023  
HKY+I           | -2093.50076     | 4197.00152      | 4197.09229156   | 4219.51547023  
SYM+I+G         | -2138.6398      | 4291.2796       | 4291.44955448   | 4322.79913032  
SYM+G           | -2143.51475     | 4299.0295       | 4299.15677273   | 4326.04624028  
SYM+I           | -2147.22096     | 4306.44192      | 4306.56919273   | 4333.45866028  
GTR             | -2176.98182     | 4369.96364      | 4370.18248498   | 4405.98596037  
F81             | -2239.93466     | 4485.86932      | 4485.9055191    | 4499.37769014  
HKY             | -2239.62326     | 4487.24652      | 4487.30694296   | 4505.25768018  
JC+I+G          | -2263.29488     | 4530.58976      | 4530.60783229   | 4539.59534009  
K80+I+G         | -2260.81664     | 4527.63328      | 4527.6694791    | 4541.14165014  
JC+G            | -2268.40152     | 4538.80304      | 4538.80905504   | 4543.30583005  
K80+G           | -2265.39128     | 4534.78256      | 4534.80063229   | 4543.78814009  
JC+I            | -2269.07432     | 4540.14864      | 4540.15465504   | 4544.65143005  
K80+I           | -2266.0033      | 4536.0066       | 4536.02467229   | 4545.01218009  
SYM             | -2259.52684     | 4529.05368      | 4529.14445156   | 4551.56763023  
K80             | -2392.90027     | 4787.80054      | 4787.80655504   | 4792.30333005  
JC              | -2396.18182     | 4792.36364      | 4792.36364      | 4792.36364     
