Model selection results for subset: f04ba747482f49357c8a7f6bd6217140
Subset alignment stored here: ./analysis/phylofiles/f04ba747482f49357c8a7f6bd6217140.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_CYTB_p3, alineamiento_COI_p3, alineamiento_16S_p1, alineamiento_16S_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2420.22091     | 4860.44182      | 4860.7091347    | 4907.70415402  
GTR+G           | -2425.83482     | 4869.66964      | 4869.8880866    | 4912.20574062  
GTR+I           | -2426.72768     | 4871.45536      | 4871.6738066    | 4913.99146062  
HKY+I+G         | -2458.32352     | 4928.64704      | 4928.74861195   | 4957.00444041  
F81+I+G         | -2462.72729     | 4935.45458      | 4935.52704377   | 4959.08574701  
HKY+I           | -2464.76737     | 4939.53474      | 4939.60720377   | 4963.16590701  
F81+I           | -2468.49236     | 4944.98472      | 4945.0329709    | 4963.88965361  
HKY+G           | -2465.58773     | 4941.17546      | 4941.24792377   | 4964.80662701  
F81+G           | -2469.26018     | 4946.52036      | 4946.5686109    | 4965.42529361  
SYM+I+G         | -2548.8379      | 5111.6758       | 5111.81139322   | 5144.75943382  
SYM+G           | -2554.4016      | 5120.8032       | 5120.90477195   | 5149.16060041  
SYM+I           | -2556.57935     | 5125.1587       | 5125.26027195   | 5153.51610041  
GTR             | -2557.55578     | 5131.11156      | 5131.28610545   | 5168.92142722  
F81             | -2619.76741     | 5245.53482      | 5245.56373566   | 5259.71352021  
HKY             | -2619.37877     | 5246.75754      | 5246.8057909    | 5265.66247361  
JC+I+G          | -2657.26498     | 5318.52996      | 5318.54440043   | 5327.9824268   
JC+I            | -2663.07069     | 5328.14138      | 5328.14618769   | 5332.8676134   
K80+I+G         | -2656.77256     | 5319.54512      | 5319.57403566   | 5333.72382021  
JC+G            | -2663.51605     | 5329.0321       | 5329.03690769   | 5333.7583334   
K80+I           | -2662.32923     | 5328.65846      | 5328.67290043   | 5338.1109268   
K80+G           | -2662.77209     | 5329.54418      | 5329.55862043   | 5338.9966468   
SYM             | -2680.19532     | 5370.39064      | 5370.46310377   | 5394.02180701  
JC              | -2801.52158     | 5603.04316      | 5603.04316      | 5603.04316     
K80             | -2800.54846     | 5603.09692      | 5603.10172769   | 5607.8231534   
