Model selection results for subset: f403e36040c6ff259f4005c7cded17ac
Subset alignment stored here: ./analysis/phylofiles/f403e36040c6ff259f4005c7cded17ac.phy
This subset contains the following data_blocks: (alineamiento_COI, alineamiento_16S)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -4029.26921     | 8076.53842      | 8076.71932452   | 8120.75310538  
GTR+I+G         | -4028.27451     | 8076.54902      | 8076.77034797   | 8125.6764482   
TIM+I+G         | -4035.81138     | 8087.62276      | 8087.76733831   | 8126.92470256  
TIM+G           | -4042.31292     | 8098.62584      | 8098.73817701   | 8133.01503974  
GTR+I           | -4039.63726     | 8097.27452      | 8097.45542452   | 8141.48920538  
TVM+I+G         | -4044.7931      | 8107.5862       | 8107.76710452   | 8151.80088538  
TIM+I           | -4052.1716      | 8118.3432       | 8118.45553701   | 8152.73239974  
TVM+G           | -4050.51479     | 8117.02958      | 8117.17415831   | 8156.33152256  
K81uf+I+G       | -4055.99745     | 8125.9949       | 8126.10723701   | 8160.38409974  
K81uf+G         | -4062.48817     | 8136.97634      | 8137.06050834   | 8166.45279692  
TrN+I+G         | -4059.66551     | 8133.33102      | 8133.44335701   | 8167.72021974  
TrN+G           | -4066.74779     | 8145.49558      | 8145.57974834   | 8174.97203692  
TVM+I           | -4065.76506     | 8147.53012      | 8147.67469831   | 8186.83206256  
K81uf+I         | -4076.60711     | 8165.21422      | 8165.29838834   | 8194.69067692  
TrN+I           | -4078.17598     | 8168.35196      | 8168.43612834   | 8197.82841692  
HKY+I+G         | -4080.31631     | 8172.63262      | 8172.71678834   | 8202.10907692  
HKY+G           | -4087.17193     | 8184.34386      | 8184.40392006   | 8208.9075741   
HKY+I           | -4102.0731      | 8214.1462       | 8214.20626006   | 8238.7099141   
F81+I+G         | -4144.88639     | 8299.77278      | 8299.83284006   | 8324.3364941   
F81+G           | -4148.37679     | 8304.75358      | 8304.79358      | 8324.40455128  
F81+I           | -4161.48671     | 8330.97342      | 8331.01342      | 8350.62439128  
SYM+I+G         | -4228.16429     | 8470.32858      | 8470.44091701   | 8504.71777974  
SYM+G           | -4234.26986     | 8480.53972      | 8480.62388834   | 8510.01617692  
TVMef+I+G       | -4245.67655     | 8503.3531       | 8503.43726834   | 8532.82955692  
TVMef+G         | -4251.99807     | 8513.99614      | 8514.05620006   | 8538.5598541   
SYM+I           | -4249.3082      | 8510.6164       | 8510.70056834   | 8540.09285692  
TVMef+I         | -4271.56992     | 8553.13984      | 8553.19990006   | 8577.7035541   
TIMef+I+G       | -4288.78352     | 8587.56704      | 8587.62710006   | 8612.1307541   
TIMef+G         | -4294.04295     | 8596.0859       | 8596.1259       | 8615.73687128  
TIMef+I         | -4303.90452     | 8615.80904      | 8615.84904      | 8635.46001128  
K81+I+G         | -4307.72811     | 8623.45622      | 8623.49622      | 8643.10719128  
K81+G           | -4312.71491     | 8631.42982      | 8631.45379602   | 8646.16804846  
K81+I           | -4326.02275     | 8658.0455       | 8658.06947602   | 8672.78372846  
GTR             | -4349.60761     | 8715.21522      | 8715.35979831   | 8754.51716256  
TVM             | -4363.50663     | 8741.01326      | 8741.12559701   | 8775.40245974  
TIM             | -4373.62108     | 8759.24216      | 8759.32632834   | 8788.71861692  
K81uf           | -4387.62027     | 8785.24054      | 8785.30060006   | 8809.8042541   
TrNef+I+G       | -4405.10596     | 8818.21192      | 8818.25192      | 8837.86289128  
TrNef+G         | -4409.78368     | 8825.56736      | 8825.59133602   | 8840.30558846  
TrNef+I         | -4419.85575     | 8845.7115       | 8845.73547602   | 8860.44972846  
K80+I+G         | -4427.07001     | 8860.14002      | 8860.16399602   | 8874.87824846  
K80+G           | -4431.73215     | 8867.4643       | 8867.47627605   | 8877.28978564  
TrN             | -4425.46652     | 8860.93304      | 8860.99310006   | 8885.4967541   
JC+I+G          | -4436.03056     | 8876.06112      | 8876.07309605   | 8885.88660564  
JC+G            | -4440.03121     | 8882.06242      | 8882.06640804   | 8886.97516282  
K80+I           | -4445.36919     | 8894.73838      | 8894.75035605   | 8904.56386564  
HKY             | -4439.73296     | 8887.46592      | 8887.50592      | 8907.11689128  
JC+I            | -4453.15827     | 8908.31654      | 8908.32052804   | 8913.22928282  
F81             | -4470.17106     | 8946.34212      | 8946.36609602   | 8961.08034846  
SYM             | -4498.18936     | 9006.37872      | 9006.43878006   | 9030.9424341   
TVMef           | -4510.62952     | 9029.25904      | 9029.29904      | 9048.91001128  
TIMef           | -4578.65405     | 9163.3081       | 9163.33207602   | 9178.04632846  
K81             | -4591.19808     | 9186.39616      | 9186.40813605   | 9196.22164564  
TrNef           | -4699.09325     | 9402.1865       | 9402.19847605   | 9412.01198564  
K80             | -4712.34803     | 9426.69606      | 9426.70004804   | 9431.60880282  
JC              | -4718.69113     | 9437.38226      | 9437.38226      | 9437.38226     
