Model selection results for subset: f4c7ace47350a11ad522455fe8ac9ce9
Subset alignment stored here: ./analysis/phylofiles/f4c7ace47350a11ad522455fe8ac9ce9.phy
This subset contains the following data_blocks: (alineamiento_WG_p1, alineamiento_COI_p1, alineamiento_CYTB_p1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -2318.7791      | 4657.5582       | 4658.07342248   | 4698.3803891   
GTR+G           | -2325.21367     | 4668.42734      | 4668.84790075   | 4705.16731019  
GTR+I           | -2330.48756     | 4678.97512      | 4679.39568075   | 4715.71509019  
HKY+I+G         | -2351.29895     | 4714.5979       | 4714.79279559   | 4739.09121346  
HKY+G           | -2356.00853     | 4722.01706      | 4722.15594889   | 4742.42815455  
HKY+I           | -2367.6597      | 4745.3194       | 4745.45828889   | 4765.73049455  
GTR             | -2463.11574     | 4942.23148      | 4942.56714434   | 4974.88923128  
F81+G           | -2479.36407     | 4966.72814      | 4966.82051875   | 4983.05701564  
F81+I+G         | -2478.80653     | 4967.61306      | 4967.75194889   | 4988.02415455  
SYM+G           | -2480.84368     | 4973.68736      | 4973.88225559   | 4998.18067346  
SYM+I+G         | -2478.84877     | 4971.69754      | 4971.95800512   | 5000.27307237  
F81+I           | -2493.92264     | 4995.84528      | 4995.93765875   | 5012.17415564  
SYM+I           | -2492.25413     | 4996.50826      | 4996.70315559   | 5021.00157346  
HKY             | -2521.87588     | 5051.75176      | 5051.84413875   | 5068.08063564  
SYM             | -2575.58128     | 5161.16256      | 5161.30144889   | 5181.57365455  
F81             | -2607.81532     | 5221.63064      | 5221.68593954   | 5233.87729673  
K80+G           | -2649.57038     | 5303.14076      | 5303.16834621   | 5311.30519782  
K80+I+G         | -2649.25653     | 5304.51306      | 5304.56835954   | 5316.75971673  
K80+I           | -2665.00479     | 5334.00958      | 5334.03716621   | 5342.17401782  
JC+G            | -2684.14661     | 5370.29322      | 5370.30239431   | 5374.37543891  
JC+I+G          | -2683.78625     | 5371.5725       | 5371.60008621   | 5379.73693782  
JC+I            | -2696.91968     | 5395.83936      | 5395.84853431   | 5399.92157891  
K80             | -2751.64833     | 5505.29666      | 5505.30583431   | 5509.37887891  
JC              | -2779.76495     | 5559.5299       | 5559.5299       | 5559.5299      
