Model selection results for subset: f6cef759ffdfd6a363484a76d78b909c
Subset alignment stored here: ./analysis/phylofiles/f6cef759ffdfd6a363484a76d78b909c.phy
This subset contains the following data_blocks: (alineamiento_16S_p2, alineamiento_WG_p2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -855.98051      | 1729.96102      | 1730.55704649   | 1763.64804869  
GTR+I           | -856.09193      | 1730.18386      | 1730.77988649   | 1763.87088869  
GTR+I+G         | -854.55799      | 1729.11598      | 1729.84687701   | 1766.54601188  
F81+I           | -875.37122      | 1758.74244      | 1758.87273316   | 1773.71445275  
F81+G           | -876.33529      | 1760.67058      | 1760.80087316   | 1775.64259275  
F81+I+G         | -874.34189      | 1758.68378      | 1758.87985843   | 1777.39879594  
HKY+I           | -875.36557      | 1760.73114      | 1760.92721843   | 1779.44615594  
HKY+G           | -876.33181      | 1762.66362      | 1762.85969843   | 1781.37863594  
SYM+G           | -873.92072      | 1759.84144      | 1760.11684984   | 1782.29945913  
SYM+I           | -874.27512      | 1760.55024      | 1760.82564984   | 1783.00825913  
HKY+I+G         | -874.33235      | 1760.6647       | 1760.94010984   | 1783.12271913  
SYM+I+G         | -872.5487       | 1759.0974       | 1759.46582105   | 1785.29842231  
GTR             | -888.5647       | 1793.1294       | 1793.60464752   | 1823.0734255   
JC+I            | -914.23101      | 1830.46202      | 1830.47492323   | 1834.20502319  
JC+G            | -914.77999      | 1831.55998      | 1831.57288323   | 1835.30298319  
JC+I+G          | -913.23631      | 1830.47262      | 1830.51145495   | 1837.95862638  
K80+I           | -913.98622      | 1831.97244      | 1832.01127495   | 1839.45844638  
SYM             | -905.68954      | 1821.37908      | 1821.57515843   | 1840.09409594  
K80+G           | -914.52681      | 1833.05362      | 1833.09245495   | 1840.53962638  
K80+I+G         | -913.0806       | 1832.1612       | 1832.23912208   | 1843.39020956  
F81             | -916.8933       | 1839.7866       | 1839.86452208   | 1851.01560956  
HKY             | -916.7959       | 1841.5918       | 1841.72209316   | 1856.56381275  
JC              | -951.87831      | 1903.75662      | 1903.75662      | 1903.75662     
K80             | -951.63308      | 1905.26616      | 1905.27906323   | 1909.00916319  
