Model selection results for subset: ff2cc817283c0f98298fb785696df032
Subset alignment stored here: ./analysis/phylofiles/ff2cc817283c0f98298fb785696df032.phy
This subset contains the following data_blocks: (alineamiento_CYTB_p3, alineamiento_WG_p3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
F81+I           | -504.99832      | 1017.99664      | 1018.14316015   | 1032.50712445  
HKY+I           | -504.64742      | 1019.29484      | 1019.51542824   | 1037.43294557  
JC+I            | -516.39728      | 1034.79456      | 1034.80905275   | 1038.42218111  
F81+I+G         | -505.18318      | 1020.36636      | 1020.58694824   | 1038.50446557  
F81+G           | -509.84392      | 1027.68784      | 1027.83436015   | 1042.19832445  
K80+I           | -516.07998      | 1036.15996      | 1036.20359636   | 1043.41520223  
HKY+I+G         | -504.84316      | 1021.68632      | 1021.9962831    | 1043.45204668  
JC+I+G          | -516.59364      | 1037.18728      | 1037.23091636   | 1044.44252223  
GTR+I           | -497.66006      | 1013.32012      | 1013.99176179   | 1045.96871002  
HKY+G           | -509.51486      | 1029.02972      | 1029.25030824   | 1047.16782557  
JC+G            | -521.1761       | 1044.3522       | 1044.36669275   | 1047.97982111  
F81             | -515.73592      | 1037.47184      | 1037.55943124   | 1048.35470334  
K80+I+G         | -516.28071      | 1038.56142      | 1038.64901124   | 1049.44428334  
SYM+I           | -508.03602      | 1028.07204      | 1028.3820031    | 1049.83776668  
GTR+I+G         | -497.5252       | 1015.0504       | 1015.87437004   | 1051.32661114  
K80+G           | -520.93007      | 1045.86014      | 1045.90377636   | 1053.11538223  
HKY             | -515.41308      | 1038.82616      | 1038.97268015   | 1053.33664445  
GTR+G           | -501.51639      | 1021.03278      | 1021.70442179   | 1053.68137002  
JC              | -527.01866      | 1054.03732      | 1054.03732      | 1054.03732     
SYM+I+G         | -508.05198      | 1030.10396      | 1030.51877481   | 1055.4973078   
SYM+G           | -512.13716      | 1036.27432      | 1036.5842831    | 1058.04004668  
K80             | -526.78709      | 1055.57418      | 1055.58867275   | 1059.20180111  
GTR             | -507.5665       | 1031.133        | 1031.66831599   | 1060.15396891  
SYM             | -518.05916      | 1046.11832      | 1046.33890824   | 1064.25642557  
