INFO     | 2015-08-27 13:28:48,679 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2015-08-27 13:28:48,688 | config     | Setting 'alignment' to 'matrix.phy'
INFO     | 2015-08-27 13:28:48,688 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2015-08-27 13:28:48,689 | parser     | Setting 'models' to 'mrbayes'
INFO     | 2015-08-27 13:28:48,689 | parser     | The models included in this analysis are: GTR+I, GTR+G, F81, F81+G, SYM, F81+I, JC, HKY, K80, HKY+I+G, K80+I, SYM+G, SYM+I, K80+G, GTR, HKY+G, SYM+I+G, HKY+I, F81+I+G, JC+G, GTR+I+G, JC+I, K80+I+G, JC+I+G
INFO     | 2015-08-27 13:28:48,689 | parser     | Setting datatype to 'DNA'
INFO     | 2015-08-27 13:28:48,689 | config     | Setting 'model_selection' to 'bic'
INFO     | 2015-08-27 13:28:48,699 | config     | Setting 'search' to 'greedy'
INFO     | 2015-08-27 13:28:48,699 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2015-08-27 13:28:48,699 | config     | Looking for alignment file './matrix.phy'...
INFO     | 2015-08-27 13:28:48,700 | analysis   | Beginning Analysis
INFO     | 2015-08-27 13:28:48,700 | analysis   | Removing Schemes in './analysis/schemes' (they will be recalculated from existing subset data)
INFO     | 2015-08-27 13:28:48,700 | config     | Checking previously run configuration data...
INFO     | 2015-08-27 13:28:48,702 | alignment  | Reading alignment file './matrix.phy'
INFO     | 2015-08-27 13:28:48,716 | analysis   | No starting tree file found.
INFO     | 2015-08-27 13:28:48,717 | phyml      | Making BioNJ tree for ./analysis/start_tree/filtered_source.phy
INFO     | 2015-08-27 13:28:48,776 | phyml      | Estimating GTR+I+G branch lengths on tree
INFO     | 2015-08-27 13:29:32,396 | phyml      | Branchlength estimation finished
INFO     | 2015-08-27 13:29:32,397 | analysis   | Starting tree with branch lengths is here: ./analysis/start_tree/filtered_source.phy_phyml_tree.txt
INFO     | 2015-08-27 13:29:32,397 | method     | Performing greedy analysis
INFO     | 2015-08-27 13:29:32,398 | progress   | PartitionFinder will have to analyse 133 subsets to complete this analysis
INFO     | 2015-08-27 13:29:32,398 | progress   | This will result in 287 schemes being created
INFO     | 2015-08-27 13:29:32,400 | method     | Analysing starting scheme (scheme start_scheme)
INFO     | 2015-08-27 13:29:32,426 | threadpool | Found 4 cpus
INFO     | 2015-08-27 13:29:36,171 | progress   | Finished subset 1/133, 0.75 percent done
INFO     | 2015-08-27 13:29:38,594 | progress   | Finished subset 2/133, 1.50 percent done
INFO     | 2015-08-27 13:29:39,737 | progress   | Finished subset 3/133, 2.26 percent done
INFO     | 2015-08-27 13:29:46,547 | progress   | Finished subset 4/133, 3.01 percent done
INFO     | 2015-08-27 13:29:47,232 | progress   | Finished subset 5/133, 3.76 percent done
INFO     | 2015-08-27 13:29:48,630 | progress   | Finished subset 6/133, 4.51 percent done
INFO     | 2015-08-27 13:29:51,984 | progress   | Finished subset 7/133, 5.26 percent done
INFO     | 2015-08-27 13:29:58,201 | progress   | Finished subset 8/133, 6.02 percent done
INFO     | 2015-08-27 13:29:59,351 | progress   | Finished subset 9/133, 6.77 percent done
INFO     | 2015-08-27 13:29:59,827 | progress   | Finished subset 10/133, 7.52 percent done
INFO     | 2015-08-27 13:30:04,447 | progress   | Finished subset 11/133, 8.27 percent done
INFO     | 2015-08-27 13:30:06,655 | progress   | Finished subset 12/133, 9.02 percent done
INFO     | 2015-08-27 13:30:06,661 | method     | ***Greedy algorithm step 1***
INFO     | 2015-08-27 13:30:07,809 | progress   | Finished subset 13/133, 9.77 percent done
INFO     | 2015-08-27 13:30:10,064 | progress   | Finished subset 14/133, 10.53 percent done
INFO     | 2015-08-27 13:30:11,997 | progress   | Finished subset 15/133, 11.28 percent done
INFO     | 2015-08-27 13:30:13,932 | progress   | Finished subset 16/133, 12.03 percent done
INFO     | 2015-08-27 13:30:17,832 | progress   | Finished subset 17/133, 12.78 percent done
INFO     | 2015-08-27 13:30:19,872 | progress   | Finished subset 18/133, 13.53 percent done
INFO     | 2015-08-27 13:30:25,422 | progress   | Finished subset 19/133, 14.29 percent done
INFO     | 2015-08-27 13:30:34,607 | progress   | Finished subset 20/133, 15.04 percent done
INFO     | 2015-08-27 13:30:42,926 | progress   | Finished subset 21/133, 15.79 percent done
