Model selection results for subset: 2eee4b57c1fe41aa1816fdf3f1e59fa9
Subset alignment stored here: ./analysis/phylofiles/2eee4b57c1fe41aa1816fdf3f1e59fa9.phy
This subset contains the following data_blocks: (alineamiento_COI, alineamiento_16S, alineamiento_CYTB)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+G           | -5431.0611      | 10880.1222      | 10880.2482504   | 10927.5612768  
GTR+I+G         | -5431.05981     | 10882.11962     | 10882.2737896   | 10934.8297054  
TIM+G           | -5443.89992     | 10901.79984     | 10901.8781617   | 10938.6968998  
TIM+I+G         | -5443.91779     | 10903.83558     | 10903.9363498   | 10946.0036483  
GTR+I           | -5443.04811     | 10904.09622     | 10904.2222704   | 10951.5352968  
TIM+I           | -5455.88673     | 10925.77346     | 10925.8517817   | 10962.6705198  
TrN+G           | -5462.44174     | 10936.88348     | 10936.9421802   | 10968.5095312  
TrN+I+G         | -5462.44385     | 10938.8877      | 10938.9660217   | 10975.7847598  
TrN+I           | -5476.77886     | 10965.55772     | 10965.6164202   | 10997.1837712  
TVM+G           | -5472.42245     | 10960.8449      | 10960.9456698   | 11003.0129683  
TVM+I+G         | -5469.05654     | 10956.11308     | 10956.2391304   | 11003.5521568  
K81uf+I+G       | -5476.6254      | 10967.2508      | 10967.3291217   | 11004.1478598  
K81uf+G         | -5482.82702     | 10977.65404     | 10977.7127402   | 11009.2800912  
HKY+I+G         | -5496.30728     | 11004.61456     | 11004.6732602   | 11036.2406112  
HKY+G           | -5499.97523     | 11009.95046     | 11009.9923594   | 11036.3055027  
TVM+I           | -5489.87569     | 10995.75138     | 10995.8521498   | 11037.9194483  
K81uf+I         | -5500.06606     | 11012.13212     | 11012.1908202   | 11043.7581712  
HKY+I           | -5519.36218     | 11048.72436     | 11048.7662594   | 11075.0794027  
F81+G           | -5608.26035     | 11224.5207      | 11224.5486135   | 11245.6047342  
F81+I+G         | -5605.02631     | 11220.05262     | 11220.0945194   | 11246.4076627  
F81+I           | -5625.33573     | 11258.67146     | 11258.6993735   | 11279.7554942  
SYM+I+G         | -5740.18312     | 11494.36624     | 11494.4445617   | 11531.2632998  
SYM+G           | -5746.50662     | 11505.01324     | 11505.0719402   | 11536.6392912  
SYM+I           | -5762.76815     | 11537.5363      | 11537.5950002   | 11569.1623512  
TVMef+I+G       | -5788.17997     | 11588.35994     | 11588.4186402   | 11619.9859912  
TVMef+G         | -5794.86848     | 11599.73696     | 11599.7788594   | 11626.0920027  
TIMef+I+G       | -5810.37623     | 11630.75246     | 11630.7943594   | 11657.1075027  
TIMef+G         | -5815.75323     | 11639.50646     | 11639.5343735   | 11660.5904942  
TVMef+I         | -5818.24783     | 11646.49566     | 11646.5375594   | 11672.8507027  
TIMef+I         | -5826.68655     | 11661.3731      | 11661.4010135   | 11682.4571342  
GTR             | -5829.68383     | 11675.36766     | 11675.4684298   | 11717.5357283  
K81+I+G         | -5860.32606     | 11728.65212     | 11728.6800335   | 11749.7361542  
K81+G           | -5865.32717     | 11736.65434     | 11736.6710764   | 11752.4673656  
TIM             | -5855.30686     | 11722.61372     | 11722.6724202   | 11754.2397712  
TVM             | -5861.66151     | 11737.32302     | 11737.4013417   | 11774.2200798  
K81+I           | -5881.43414     | 11768.86828     | 11768.8850164   | 11784.6813056  
K81uf           | -5887.67488     | 11785.34976     | 11785.3916594   | 11811.7048027  
TrN             | -5903.27062     | 11816.54124     | 11816.5831394   | 11842.8962827  
TrNef+I+G       | -5926.44663     | 11860.89326     | 11860.9211735   | 11881.9772942  
TrNef+G         | -5931.36392     | 11868.72784     | 11868.7445764   | 11884.5408656  
HKY             | -5935.84792     | 11879.69584     | 11879.7237535   | 11900.7798742  
TrNef+I         | -5943.73862     | 11893.47724     | 11893.4939764   | 11909.2902656  
K80+I+G         | -5980.65866     | 11967.31732     | 11967.3340564   | 11983.1303456  
K80+G           | -5985.43336     | 11974.86672     | 11974.8750824   | 11985.4087371  
F81             | -5996.25028     | 11998.50056     | 11998.5172964   | 12014.3135856  
K80+I           | -6002.85805     | 12009.7161      | 12009.7244624   | 12020.2581171  
JC+G            | -6008.69825     | 12019.3965      | 12019.3992855   | 12024.6675085  
JC+I+G          | -6005.25421     | 12014.50842     | 12014.5167824   | 12025.0504371  
JC+I            | -6025.06953     | 12052.13906     | 12052.1418455   | 12057.4100685  
SYM             | -6069.09482     | 12148.18964     | 12148.2315394   | 12174.5446827  
TVMef           | -6106.36487     | 12220.72974     | 12220.7576535   | 12241.8137742  
TIMef           | -6160.3009      | 12326.6018      | 12326.6185364   | 12342.4148256  
K81             | -6198.20936     | 12400.41872     | 12400.4270824   | 12410.9607371  
TrNef           | -6286.83591     | 12577.67182     | 12577.6801824   | 12588.2138371  
K80             | -6325.67702     | 12653.35404     | 12653.3568255   | 12658.6250485  
JC              | -6344.07119     | 12688.14238     | 12688.14238     | 12688.14238    
